"rank_sales","country","description","total_income"
"1","United Kingdom","DOTCOM POSTAGE","206245.48"
"2","United Kingdom","REGENCY CAKESTAND 3 TIER","134405.94"
"3","United Kingdom","WHITE HANGING HEART T-LIGHT HOLDER","93953.07"
"1","Germany","POSTAGE","20821.00"
"2","Germany","REGENCY CAKESTAND 3 TIER","8257.35"
"3","Germany","ROUND SNACK BOXES SET OF4 WOODLAND ","3554.70"
"1","Netherlands","RABBIT NIGHT LIGHT","9568.48"
"2","Netherlands","ROUND SNACK BOXES SET OF4 WOODLAND ","7991.40"
"3","Netherlands","SPACEBOY LUNCH BOX ","7485.60"
"1","France","POSTAGE","15065.00"
"2","France","RABBIT NIGHT LIGHT","7275.12"
"3","France","REGENCY CAKESTAND 3 TIER","2581.80"
"1","EIRE","REGENCY CAKESTAND 3 TIER","7442.85"
"2","EIRE","CARRIAGE","5175.00"
"3","EIRE","JAM MAKING SET WITH JARS","3089.00"
"1","Spain","POSTAGE","5852.00"
"2","Spain","CHILDRENS CUTLERY POLKADOT PINK","2737.35"
"3","Spain","CHILDRENS CUTLERY POLKADOT BLUE","2450.75"
"1","Japan","RABBIT NIGHT LIGHT","6087.79"
"2","Japan","ROUND SNACK BOXES SET OF 4 FRUITS ","2220.90"
"3","Japan","RED SPOTTY BISCUIT TIN","815.75"
"1","Australia","RABBIT NIGHT LIGHT","3375.84"
"2","Australia","SET OF 6 SPICE TINS PANTRY DESIGN","2082.00"
"3","Australia","RED TOADSTOOL LED NIGHT LIGHT","1987.20"
"1","Belgium","POSTAGE","4248.00"
"2","Belgium","ROUND SNACK BOXES SET OF4 WOODLAND ","1181.40"
"3","Belgium","SPACEBOY LUNCH BOX ","641.85"
"3","Belgium","DOLLY GIRL LUNCH BOX","641.85"
"1","Finland","POSTAGE","3472.00"
"2","Finland","CHILDRENS CUTLERY POLKADOT PINK","1819.20"
"3","Finland","CHILDRENS CUTLERY POLKADOT BLUE","1187.40"
"1","Switzerland","POSTAGE","3880.00"
"2","Switzerland","ROUND SNACK BOXES SET OF4 WOODLAND ","1297.85"
"3","Switzerland","PLASTERS IN TIN WOODLAND ANIMALS","977.55"
"1","Sweden","MINI PAINT SET VINTAGE ","1895.40"
"2","Sweden","SET OF 3 CAKE TINS PANTRY DESIGN ","1767.15"
"3","Sweden","POSTAGE","1389.00"
"1","Norway","POSTAGE","2870.50"
"2","Norway","GROW A FLYTRAP OR SUNFLOWER IN TIN","538.80"
"3","Norway","CHILDS BREAKFAST SET DOLLY GIRL ","527.40"
"1","Portugal","POSTAGE","2508.00"
"2","Portugal","RETROSPOT TEA SET CERAMIC 11 PC ","463.35"
"3","Portugal","JUMBO SHOPPER VINTAGE RED PAISLEY","387.40"
"1","Denmark","RED KITCHEN SCALES","734.40"
"2","Denmark","POSTAGE","726.00"
"3","Denmark","IVORY KITCHEN SCALES","696.15"
"1","Italy","POSTAGE","1645.00"
"2","Italy","RETROSPOT TEA SET CERAMIC 11 PC ","222.75"
"3","Italy","SET OF 3 CAKE TINS PANTRY DESIGN ","212.85"
"1","Austria","POSTAGE","1456.00"
"2","Austria","PACK OF 6 SWEETIE GIFT BOXES","302.40"
"2","Austria","PACK OF 6 PANNETONE GIFT BOXES","302.40"
"1","Channel Islands","REGENCY CAKESTAND 3 TIER","517.80"
"2","Channel Islands","JUMBO BAG RED RETROSPOT","460.70"
"3","Channel Islands","SET OF 3 CAKE TINS PANTRY DESIGN ","408.00"
"1","Cyprus","RUSTIC  SEVENTEEN DRAWER SIDEBOARD","580.00"
"2","Cyprus","WHITE HANGING HEART T-LIGHT HOLDER","386.40"
"3","Cyprus","REGENCY CAKESTAND 3 TIER","382.50"
"1","Canada","POSTAGE","550.94"
"2","Canada","RETRO COFFEE MUGS ASSORTED","534.24"
"3","Canada","LUNCH BAG  BLACK SKULL.","82.50"
"1","Hong Kong","CHILDRENS CUTLERY POLKADOT PINK","398.40"
"2","Hong Kong","ROUND SNACK BOXES SET OF4 WOODLAND ","384.90"
"3","Hong Kong","CHILDRENS CUTLERY RETROSPOT RED ","365.20"
"1","Israel","REGENCY CAKESTAND 3 TIER","551.10"
"2","Israel","ROUND SNACK BOXES SET OF4 WOODLAND ","244.80"
"3","Israel","SET OF 4 KNICK KNACK TINS DOILEY ","229.80"
"1","Iceland","3D DOG PICTURE PLAYING CARDS","371.70"
"2","Iceland","ICE CREAM SUNDAE LIP GLOSS","249.60"
"3","Iceland","REGENCY CAKESTAND 3 TIER","191.25"
"1","Singapore","DOORMAT UNION FLAG","340.80"
"2","Singapore","VINTAGE RED KITCHEN CABINET","250.00"
"3","Singapore","DOORMAT RED RETROSPOT","205.80"
"1","Malta","POSTAGE","525.00"
"2","Malta","GRAND CHOCOLATECANDLE","108.75"
"3","Malta","REGENCY CAKESTAND 3 TIER","89.25"
"1","Poland","POSTAGE","360.00"
"2","Poland","CERAMIC CAKE DESIGN SPOTTED MUG","182.58"
"3","Poland","SET OF 6 SPICE TINS PANTRY DESIGN","177.60"
"1","Greece","POSTAGE","285.00"
"2","Greece","REGENCY CAKESTAND 3 TIER","175.20"
"3","Greece","VINTAGE CREAM 3 BASKET CAKE STAND","135.84"
"1","USA","SET 6 SCHOOL MILK BOTTLES IN CRATE","162.72"
"2","USA","REGENCY CAKESTAND 3 TIER","114.75"
"3","USA","SET/10 RED POLKADOT PARTY CANDLES","60.00"
"3","USA","SET/10 PINK POLKADOT PARTY CANDLES","60.00"
"3","USA","SET/10 IVORY POLKADOT PARTY CANDLES","60.00"
"3","USA","SET/10 BLUE POLKADOT PARTY CANDLES","60.00"
"1","United Arab Emirates","REGENCY CAKESTAND 3 TIER","153.00"
"2","United Arab Emirates","I LOVE LONDON BABY GIFT SET","89.70"
"2","United Arab Emirates"," SPACEBOY BABY GIFT SET","89.70"
"2","United Arab Emirates","DOLLY GIRL BABY GIFT SET","89.70"
"1","Lithuania","GREY FLORAL FELTCRAFT SHOULDER BAG","135.00"
"2","Lithuania","FELTCRAFT DOLL ROSIE","122.40"
"3","Lithuania","FELTCRAFT PRINCESS LOLA DOLL","120.00"
"1","Lebanon","REGENCY CAKESTAND 3 TIER","153.00"
"2","Lebanon","CREAM SWEETHEART MINI CHEST","102.00"
"2","Lebanon","WOODEN SKITTLES GARDEN SET","102.00"
"1","Brazil","REGENCY CAKESTAND 3 TIER","175.20"
"2","Brazil","SET OF 6 SPICE TINS PANTRY DESIGN","82.80"
"3","Brazil","SET/3 RED GINGHAM ROSE STORAGE BOX","81.36"
"1","Bahrain","ICE CREAM SUNDAE LIP GLOSS","120.00"
"2","Bahrain","DOUGHNUT LIP GLOSS ","75.00"
"3","Bahrain","NOVELTY BISCUITS CAKE STAND 3 TIER","59.70"
"1","European Community","POSTAGE","141.00"
"2","European Community","BISCUIT TIN VINTAGE GREEN","54.00"
"2","European Community","BISCUIT TIN VINTAGE RED","54.00"
"1","Unspecified","JAM MAKING SET WITH JARS","70.50"
"2","Unspecified","BISCUIT TIN VINTAGE CHRISTMAS","69.36"
"2","Unspecified","STORAGE TIN VINTAGE DOILY ","69.36"
"1","Czech Republic","ROUND SNACK BOXES SET OF4 WOODLAND ","70.80"
"2","Czech Republic","ROTATING SILVER ANGELS T-LIGHT HLDR","61.20"
"3","Czech Republic","SET3 BOOK BOX GREEN GINGHAM FLOWER ","51.00"
"1","RSA","CLASSIC METAL BIRDCAGE PLANT HOLDER","38.25"
"2","RSA","WOODEN CROQUET GARDEN SET","29.90"
"3","RSA","SPOTTY BUNTING","29.70"
"1","Saudi Arabia","PLASTERS IN TIN STRONGMAN","19.80"
"1","Saudi Arabia","PLASTERS IN TIN SKULLS","19.80"
"1","Saudi Arabia","PLASTERS IN TIN CIRCUS PARADE ","19.80"
