"release_year","number_of_productions","percentage_of_total"
2018,"1147","13.02"
2017,"1032","11.72"
2019,"1030","11.70"
2020,"953","10.82"
2016,"902","10.24"
2021,"592","6.72"
2015,"560","6.36"
2014,"352","4.00"
2013,"288","3.27"
2012,"237","2.69"
2010,"194","2.20"
2011,"185","2.10"
2009,"152","1.73"
2008,"136","1.54"
2006,"96","1.09"
2007,"88","1.00"
2005,"80","0.91"
2004,"64","0.73"
2003,"61","0.69"
2002,"51","0.58"
2001,"45","0.51"
1999,"39","0.44"
1997,"38","0.43"
2000,"37","0.42"
1998,"36","0.41"
1993,"28","0.32"
1995,"25","0.28"
1996,"24","0.27"
1992,"23","0.26"
1994,"22","0.25"
1990,"22","0.25"
1988,"18","0.20"
1991,"17","0.19"
1982,"17","0.19"
1989,"16","0.18"
1981,"13","0.15"
1986,"13","0.15"
1984,"12","0.14"
1979,"11","0.12"
1980,"11","0.12"
1983,"11","0.12"
1985,"10","0.11"
1973,"10","0.11"
1976,"9","0.10"
1987,"8","0.09"
1977,"7","0.08"
1974,"7","0.08"
1978,"7","0.08"
1975,"7","0.08"
1972,"5","0.06"
1971,"5","0.06"
1967,"5","0.06"
1945,"4","0.05"
1960,"4","0.05"
1955,"3","0.03"
1944,"3","0.03"
1968,"3","0.03"
1943,"3","0.03"
1958,"3","0.03"
1962,"3","0.03"
1970,"2","0.02"
1956,"2","0.02"
1965,"2","0.02"
1954,"2","0.02"
1969,"2","0.02"
1964,"2","0.02"
1963,"2","0.02"
1942,"2","0.02"
1946,"2","0.02"
1947,"1","0.01"
1959,"1","0.01"
1966,"1","0.01"
1961,"1","0.01"
1925,"1","0.01"
